Talal Hassoun Abdul Kader,Weightlifting Men's Light-Heavyweight
Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,Athletics Men's 200 metres
Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,Athletics Men's 4 x 100 metres Relay
Taha Abdul Karim,Boxing Men's Lightweight
Masoud Abdul Khamis Al-Rahman,Athletics Men's 4 x 400 metres Relay
Abdul Haji Abdul Latheef,Athletics Men's Marathon
Fatima Abdul Majeed Hameed Al-Kirashi,Swimming Women's 50 metres Freestyle
Majed Ahmed Abdul Mohamed,Football Men's Football
Firouz Abdul Mohammadian,Water Polo Men's Water Polo
Hussam Abdul Rahman,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
Mohamed Ghulom Abdul Rahman,"Shooting Men's Rapid-Fire Pistol, 25 metres"
Suleman Abdul Rahman,"Cycling Men's Road Race, Individual"
Zambrose Abdul Rahman,Athletics Men's 400 metres Hurdles
Lala Abdul Rashid,Hockey Men's Hockey
Muhammad Abdul Rashid,Hockey Men's Hockey
Dana Abdul Razak (Hussain-),Athletics Women's 100 metres
A. Abdul Razzak,Athletics Men's Long Jump
A. Abdul Razzak,Athletics Men's Triple Jump
Mohamed Abdul Razzak,Athletics Men's High Jump
Muhammad Abdul Razzaq,Hockey Men's Hockey
Hazim Abdul Ridha,"Wrestling Men's Flyweight, Greco-Roman"
Rauf Abdul Seoud,Diving Men's Platform
Samir Ahmed Abdul Shakour,Football Men's Football
Nabil Abdul Tahlak,"Shooting Men's Air Rifle, 10 metres"
Fahmi Ahmed Abdul Wahab Al-Tahri,Athletics Men's 800 metres
Mohamed Abdul Wahab Al-Salah,Swimming Men's 400 metres Freestyle
Mohamed Abdul Wahab Al-Salah,Swimming Men's 100 metres Butterfly
Qazi Abdul Waheed,Hockey Men's Hockey
Patmawati Abdul Wahid,Weightlifting Women's Lightweight
Haidar Abdul-Amir Hassan,Football Men's Football
Haidar Abdul-Razzaq Hassan,Football Men's Football
"Lawal Kolawole ""Kola"" Abdulai",Athletics Men's 100 metres
"Lawal Kolawole ""Kola"" Abdulai",Athletics Men's 4 x 100 metres Relay
"Rukayatu ""Ruky"" Abdulai",Athletics Women's Long Jump
Mona Ahmad Abdulaziz Hassanein,"Fencing Women's epee, Individual"
Zagalav Abdulbekovich Abdulbekov,"Wrestling Men's Featherweight, Freestyle"
Roosevelt M. Abdulgafur,Swimming Men's 100 metres Freestyle
Roosevelt M. Abdulgafur,Swimming Men's 200 metres Freestyle
Roosevelt M. Abdulgafur,Swimming Men's 4 x 100 metres Freestyle Relay
Roosevelt M. Abdulgafur,Swimming Men's 4 x 200 metres Freestyle Relay
Roosevelt M. Abdulgafur,Swimming Men's 4 x 100 metres Medley Relay
Ahmed Abdulkareem Ahmed,Boxing Men's Welterweight
Gamal Ahmed Abdulla,Hockey Men's Hockey
Mohamed Sayed Abdulla,Hockey Men's Hockey
Ahmad Hassan Abdullah,"Athletics Men's 10,000 metres"
Ahmed Ghanim Abdullah,Swimming Men's 200 metres Butterfly
Aquil Hashim Abdullah (Shumate-),Rowing Men's Double Sculls
Atallah Abdullah,Weightlifting Men's Middle-Heavyweight
Magdy Ahmed Abdullah,Hockey Men's Hockey
Mohamed Abdullah,Swimming Men's 4 x 100 metres Freestyle Relay
Mohamed Abdullah,Swimming Men's 4 x 200 metres Freestyle Relay
Mohamed Abdullah,Swimming Men's 100 metres Backstroke
Mohamed Abdullah,Swimming Men's 200 metres Backstroke
Mohamed Abdullah,Swimming Men's 200 metres Individual Medley
Mohamed Abdullah,Swimming Men's 4 x 100 metres Medley Relay
Mohamed Samy Abdullah,Athletics Men's 100 metres
Mohamed Abdullah,Athletics Men's Pole Vault
Osama Abdullah,Football Men's Football
Tewfik Abdullah,Football Men's Football
Wan Azlan Abdullah,Swimming Men's 200 metres Individual Medley
Wan Azlan Abdullah,Swimming Men's 400 metres Individual Medley
Wan Azlan Abdullah,Swimming Men's 4 x 100 metres Medley Relay
Zarinah Abdullah,Badminton Women's Singles
Abdel Wahab Abdullah Salih,Boxing Men's Light-Middleweight
Abdel Wahab Abdullah Salih,Boxing Men's Middleweight
Abubakar Sadiq Abdullahi,Tennis Men's Singles
Abdulqdir Abdullayev,Boxing Men's Heavyweight
Arif Yadulla Abdullayev,"Wrestling Men's Bantamweight, Freestyle"
Arif Yadulla Abdullayev,"Wrestling Men's Featherweight, Freestyle"
Mukhammad Kadyr Abdullayev,Boxing Men's Lightweight
Mukhammad Kadyr Abdullayev,Boxing Men's Light-Welterweight
Muminzhon Abdullayev,"Wrestling Men's Super-Heavyweight, Greco-Roman"
Namiq Yadulla Abdullayev,"Wrestling Men's Flyweight, Freestyle"
Namiq Yadulla Abdullayev,"Wrestling Men's Bantamweight, Freestyle"
