Equestrianism,"Equestrianism Mixed Dressage, Team"
Cross Country Skiing,Cross Country Skiing Men's 18 kilometres
Swimming,Swimming Men's 100 metres Breaststroke
Figure Skating,Figure Skating Mixed Ice Dancing
Shooting,"Shooting Mixed Free Pistol, 50 metres"
Sailing,Sailing Women's Skiff
Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres"
Triathlon,Triathlon Men's Olympic Distance
Sailing,Sailing Women's One Person Dinghy
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon
Rowing,Rowing Men's 17-Man Naval Rowing Boats
Beach Volleyball,Beach Volleyball Women's Beach Volleyball
Weightlifting,Weightlifting Men's Super-Heavyweight
Rowing,Rowing Men's Lightweight Coxless Fours
Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman"
Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
Sailing,Sailing Mixed 5.5 metres
Equestrianism,"Equestrianism Mixed Jumping, Team"
Diving,Diving Men's Synchronized Platform
Snowboarding,Snowboarding Men's Halfpipe
Canoeing,"Canoeing Women's Kayak Singles, Slalom"
Weightlifting,Weightlifting Women's Flyweight
Swimming,Swimming Women's 100 metres Breaststroke
Swimming,Swimming Women's 200 metres Breaststroke
Wrestling,"Wrestling Men's Middleweight B, Greco-Roman"
Athletics,Athletics Men's Stone Throw
Athletics,"Athletics Men's Javelin Throw, Freestyle"
Athletics,Athletics Men's Pentathlon (Ancient)
Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
Swimming,Swimming Women's 100 metres Butterfly
Weightlifting,Weightlifting Men's Heavyweight I
Athletics,"Athletics Women's 3,000 metres Steeplechase"
Athletics,"Athletics Men's Shot Put, Both Hands"
Ski Jumping,"Ski Jumping Men's Large Hill, Individual"
Ski Jumping,"Ski Jumping Men's Large Hill, Team"
Shooting,Shooting Women's Trap
Badminton,Badminton Men's Doubles
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
Athletics,Athletics Men's 10 kilometres Walk
Athletics,Athletics Women's 20 kilometres Walk
Athletics,Athletics Women's 80 metres Hurdles
Sailing,Sailing Men's One Person Heavyweight Dinghy
Freestyle Skiing,Freestyle Skiing Women's Aerials
Art Competitions,"Art Competitions Mixed Painting, Paintings"
Tennis,"Tennis Mixed Doubles, Covered Courts"
Cycling,Cycling Men's Madison
Art Competitions,"Art Competitions Mixed Sculpturing, Statues"
Rugby,Rugby Men's Rugby
Weightlifting,Weightlifting Men's Heavyweight II
Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay"
Cycling,Cycling Men's Individual Time Trial
Judo,Judo Women's Heavyweight
Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
Gymnastics,"Gymnastics Men's Individual All-Around, 5 Events"
Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle"
Biathlon,Biathlon Women's 10 kilometres Pursuit
